Nom du Joueur,Hits,Misses,Bad Clicks,Précision Moyenne,Accuracy
dimitry,2,3,4,67.92900394033751,40.0
apt,3,2,2,30.86968339411528,60.0
bite,16,13,13,53.75767258738245,53.333333333333336
Daniel,7,22,25,61.398831282044725,23.333333333333332
jean,7,22,15,41.060271843819244,23.333333333333332
lucas,20,9,12,47.95051010604895,66.66666666666666
T,6,23,15,44.45875274848486,20.0
test,16,10,9,47.68645510876594,53.333333333333336
betty,17,12,11,48.90709371451243,56.666666666666664
